Index;Min(max. R-Score);<max. R-Score>;Std(max. R-Score);<(epoch of max R-Score>;Std(epoch of max R-Score);Min(max. R-Score (Val. set));<max. R-Score (Val. set)>;Std(max. R-Score (Val. set));<epoch of max R-Score (Val. set)>;Std(epoch of max R-Score (Val. set))
1.0;0.14928093552589417;0.19816133379936218;0.01640845648944378;72.87999725341797;46.25321578979492;0.12338703870773315;0.1541796177625656;0.01302062813192606;63.31999969482422;44.24055480957031
2.0;0.142197385430336;0.19311746954917908;0.01607147790491581;74.63999938964844;43.79962158203125;0.11600450426340103;0.14614945650100708;0.012534823268651962;58.47999954223633;38.29721450805664
3.0;0.15661218762397766;0.19942785799503326;0.015986556187272072;75.27999877929688;45.64310836791992;0.128104105591774;0.1538076400756836;0.012840833514928818;55.959999084472656;37.262001037597656
4.0;0.020145615562796593;0.02879103645682335;0.005372423212975264;150.0;0.0;0.023735569790005684;0.03072972223162651;0.004714851267635822;150.0;0.0
5.0;0.006102049723267555;0.02646747976541519;0.007637220434844494;149.9600067138672;0.20000000298023224;0.01284851599484682;0.02803567796945572;0.006232111714780331;150.0;0.0
6.0;0.009238900616765022;0.031488798558712006;0.012213912792503834;150.0;0.0;0.01680675894021988;0.031829122453927994;0.009825402870774269;150.0;0.0
7.0;0.1450507938861847;0.17336682975292206;0.011670907028019428;149.9199981689453;0.40000003576278687;0.12507809698581696;0.1417887657880783;0.008212282322347164;147.8800048828125;10.600000381469727
8.0;0.11973928660154343;0.1616569459438324;0.016332359984517097;148.83999633789062;2.9816107749938965;0.10771097987890244;0.1297171264886856;0.009861915372312069;146.44000244140625;10.816961288452148
9.0;0.14426319301128387;0.17483140528202057;0.011289766058325768;147.63999938964844;5.4074015617370605;0.12227313220500946;0.14075309038162231;0.009366241283714771;147.1199951171875;8.795454025268555
10.0;0.06711608916521072;0.07328425347805023;0.003394931089133024;150.0;0.0;0.059117238968610764;0.06644068658351898;0.003817933611571789;150.0;0.0
11.0;0.027969585731625557;0.06600096821784973;0.009838980622589588;150.0;0.0;0.02900920808315277;0.05918734520673752;0.008135855197906494;150.0;0.0
12.0;0.050224728882312775;0.06309601664543152;0.0052066706120967865;150.0;0.0;0.04258960112929344;0.05518031492829323;0.005451943725347519;150.0;0.0
13.0;0.06297819316387177;0.07048386335372925;0.0036348833236843348;150.0;0.0;0.056662436574697495;0.06427828222513199;0.004062094260007143;150.0;0.0
14.0;0.02080017887055874;0.06326240301132202;0.010670813731849194;150.0;0.0;0.023380817845463753;0.057041753083467484;0.008813613094389439;150.0;0.0
15.0;0.04788290709257126;0.06053393706679344;0.005474332720041275;150.0;0.0;0.04105608910322189;0.05340127646923065;0.005545229185372591;150.0;0.0
