Index;<epoch of min <Chi^2>>;Std(<epoch of min Chi^2>);<Chi^2(0%)>;<Chi^2(1%)>;<Chi^2(2%)>;<Chi^2(5%)>;<Chi^2(10%)>;<Chi^2(20%)>;<Chi_configs^2(0%)>;<Chi_configs^2(1%)>;<Chi_configs^2(2%)>;<Chi_configs^2(5%)>;<Chi_configs^2(10%)>;<Chi_configs^2(20%)>
1.0;76.30000305175781;50.048500061035156;115.19417572021484;57.19196319580078;40.789363861083984;31.04854965209961;28.164974212646484;27.30588722229004;47.65357208251953;45.32570266723633;47.68613052368164;43.316383361816406;41.251712799072266;45.06511688232422
2.0;89.55000305175781;53.29014587402344;156.96376037597656;60.154296875;42.48314666748047;34.17223358154297;29.501113891601562;28.94243812561035;47.65357208251953;45.32570266723633;47.68613052368164;43.316383361816406;41.251712799072266;45.06511688232422
3.0;76.0;45.35706329345703;117.68220520019531;58.5980110168457;41.444602966308594;31.806737899780273;28.173202514648438;27.592626571655273;47.65357208251953;45.32570266723633;47.68613052368164;43.316383361816406;41.251712799072266;45.06511688232422
4.0;96.0;69.89691925048828;179.81533813476562;73.64981079101562;45.84929656982422;34.89603805541992;32.611244201660156;36.09583282470703;47.65357208251953;45.32570266723633;47.68613052368164;43.316383361816406;41.251712799072266;45.06511688232422
5.0;80.0999984741211;70.8801040649414;169.26600646972656;76.65382385253906;46.05866622924805;35.00156021118164;32.81889724731445;36.365989685058594;47.65357208251953;45.32570266723633;47.68613052368164;43.316383361816406;41.251712799072266;45.06511688232422
6.0;96.94999694824219;69.81138610839844;179.75186157226562;74.25752258300781;45.530433654785156;34.998775482177734;32.4873046875;36.20305252075195;47.65357208251953;45.32570266723633;47.68613052368164;43.316383361816406;41.251712799072266;45.06511688232422
7.0;92.94999694824219;59.37523651123047;139.4258270263672;57.21813201904297;44.89805603027344;33.47348403930664;30.47089195251465;30.38519859313965;47.65357208251953;45.32570266723633;47.68613052368164;43.316383361816406;41.251712799072266;45.06511688232422
8.0;55.95000076293945;68.29769897460938;147.9629364013672;68.21820068359375;44.272701263427734;35.107730865478516;32.815696716308594;33.466575622558594;47.65357208251953;45.32570266723633;47.68613052368164;43.316383361816406;41.251712799072266;45.06511688232422
9.0;101.5999984741211;55.11079406738281;135.03005981445312;58.917869567871094;45.20530319213867;34.34996795654297;30.144201278686523;31.368906021118164;47.65357208251953;45.32570266723633;47.68613052368164;43.316383361816406;41.251712799072266;45.06511688232422
10.0;103.94999694824219;66.8647232055664;160.56532287597656;65.41722106933594;46.59553909301758;35.65052032470703;32.211570739746094;34.455589294433594;47.65357208251953;45.32570266723633;47.68613052368164;43.316383361816406;41.251712799072266;45.06511688232422
