Index;Min(max. R-Score);<max. R-Score>;Std(max. R-Score);<(epoch of max R-Score>;Std(epoch of max R-Score);Min(max. R-Score (Val. set));<max. R-Score (Val. set)>;Std(max. R-Score (Val. set));<epoch of max R-Score (Val. set)>;Std(epoch of max R-Score (Val. set))
533.0;0.2688458263874054;0.2929118871688843;0.01272950042039156;141.5500030517578;12.918672561645508;0.2419048547744751;0.2596304714679718;0.008975166827440262;140.8000030517578;13.316391944885254
534.0;0.25894469022750854;0.2869846224784851;0.013837318867444992;139.89999389648438;13.691718101501465;0.23472502827644348;0.2533082962036133;0.00935431756079197;143.64999389648438;9.022050857543945
535.0;0.2577562630176544;0.290762722492218;0.016595426946878433;142.0;13.118889808654785;0.23407769203186035;0.25349411368370056;0.011459103785455227;143.5;9.577935218811035
536.0;0.08889485150575638;0.19630444049835205;0.045164529234170914;118.75;30.976858139038086;0.049100592732429504;0.13286910951137543;0.035073161125183105;122.4000015258789;32.148338317871094
537.0;0.10024365037679672;0.1984913945198059;0.03921349346637726;114.8499984741211;31.68143081665039;0.0739363580942154;0.13450485467910767;0.031437948346138;117.0999984741211;37.21049880981445
538.0;0.10400106012821198;0.19919905066490173;0.04166776314377785;114.0;33.034271240234375;0.05994170159101486;0.13562960922718048;0.0353960357606411;115.55000305175781;35.296451568603516
539.0;0.24124464392662048;0.2941514253616333;0.02574269101023674;73.8499984741211;23.965490341186523;0.204056054353714;0.24834267795085907;0.021476702764630318;72.0999984741211;22.685260772705078
540.0;0.21610912680625916;0.2806907296180725;0.029488788917660713;85.5999984741211;23.268226623535156;0.19383740425109863;0.23351529240608215;0.025196051225066185;82.55000305175781;24.342891693115234
541.0;0.20148439705371857;0.27414578199386597;0.03496064990758896;77.75;28.840532302856445;0.1576351672410965;0.22452965378761292;0.030468858778476715;74.94999694824219;26.36479949951172
542.0;0.24015945196151733;0.29349857568740845;0.026205269619822502;75.94999694824219;27.770627975463867;0.20466327667236328;0.2478211671113968;0.021233847364783287;76.25;25.45145034790039
543.0;0.20375914871692657;0.27836543321609497;0.03150800243020058;91.1500015258789;30.168432235717773;0.18469084799289703;0.23130831122398376;0.02705000713467598;84.55000305175781;28.772201538085938
544.0;0.19664406776428223;0.27243125438690186;0.035607993602752686;74.4000015258789;29.819459915161133;0.16141946613788605;0.2231599986553192;0.030575186014175415;79.05000305175781;32.78715133666992
545.0;-1.5295919179916382;-0.9828404188156128;0.2052144706249237;146.0;13.607274055480957;-1.514208197593689;-1.0538619756698608;0.2052784562110901;145.8000030517578;13.655921936035156
546.0;-0.24449335038661957;-0.018188264220952988;0.104268379509449;97.19999694824219;49.62660598754883;-0.2520400285720825;-0.08967844396829605;0.07985999435186386;78.1500015258789;53.762901306152344
547.0;0.2709188461303711;0.298020601272583;0.01478464063256979;124.30000305175781;25.53243637084961;0.24017943441867828;0.26281097531318665;0.011192481964826584;127.3499984741211;21.433557510375977
548.0;0.264759361743927;0.29516035318374634;0.01712210848927498;130.64999389648438;23.6003475189209;0.23317550122737885;0.25892335176467896;0.012615636922419071;131.60000610351562;22.6632080078125
