Index;Max. R-Score;Epoch of max R-Score
1.0;-57.8579709303;140.0
2.0;-84.27877719593032;65.0
3.0;-107.52070502582163;129.0
4.0;-104.71890888828148;130.0
5.0;-103.55403593748257;4.0
6.0;-110.22665774716876;44.0
7.0;-67.81806079270108;1.0
8.0;-83.21390365101293;1.0
9.0;-69.01141970460206;1.0
10.0;-96.79592720115947;2.0
11.0;-93.9955466006996;2.0
12.0;-99.50640462808352;62.0
13.0;-93.76110099205576;2.0
14.0;-92.72315212452874;67.0
15.0;-97.06282804083577;132.0
16.0;-77.54002664270612;28.0
17.0;-97.4478139033395;77.0
18.0;-87.9856236886991;43.0
19.0;-98.56192153119552;3.0
20.0;-96.78006534198812;52.0
21.0;-102.12493012591457;59.0
22.0;-94.77751851448296;2.0
23.0;-97.3509368749821;2.0
24.0;-99.40339216292948;63.0
25.0;-92.75835495318145;53.0
26.0;-91.78035520779684;84.0
27.0;-96.8670996728255;22.0
28.0;0.1949424528316972;123.0
29.0;0.19187959329393356;28.0
30.0;0.19701205270347;39.0
31.0;0.1809662077985259;1.0
32.0;0.17893339089252402;51.0
33.0;0.18588148365404666;70.0
34.0;0.19039177586854084;10.0
35.0;0.1866959440772653;10.0
36.0;0.19693708096285023;6.0
37.0;0.18168292136504993;148.0
38.0;0.1788969388681524;7.0
39.0;0.1885221999389215;34.0
40.0;0.18386587060212534;143.0
41.0;0.1818063255875909;7.0
42.0;0.18913545700484657;31.0
43.0;-0.1728565002144915;150.0
44.0;0.12695985589317016;150.0
45.0;0.1388265476241315;126.0
46.0;0.14080098043431544;148.0
47.0;0.14435702161093256;150.0
48.0;0.14432759805492867;1.0
49.0;0.14236064677272697;19.0
50.0;0.14448377849914884;30.0
51.0;0.14065037463679864;1.0
52.0;0.1331824306363072;35.0
53.0;0.1360479040654119;140.0
54.0;0.1359204382383682;1.0
55.0;0.22627011445865142;14.0
56.0;0.10877860690047458;17.0
57.0;0.041295734719885346;14.0
58.0;-0.10742958581276096;1.0
59.0;-0.1458243164285593;1.0
60.0;-0.16407900101997974;3.0
61.0;-0.18350254921010745;2.0
62.0;-0.28968851221128133;3.0
63.0;-0.3467045494581362;8.0
64.0;-0.38245059325120323;1.0
65.0;-0.4335655586028111;2.0
66.0;-0.4640311613694983;52.0
67.0;-0.4716369571586905;3.0
68.0;-0.514105097502261;2.0
69.0;-0.5410489193733092;84.0
70.0;-0.5302288351434981;62.0
71.0;-0.5392320142532909;15.0
72.0;-0.4400143896603981;149.0
73.0;-0.4360487966925366;4.0
74.0;-0.4696829962711577;3.0
75.0;-0.4978706364097083;53.0
76.0;-0.49978116003973505;1.0
77.0;-0.5518675440028544;2.0
78.0;-0.5745718764974239;38.0
79.0;-0.5812065235406048;6.0
80.0;-0.6113308668523714;6.0
81.0;-0.6205601423647611;18.0
82.0;0.2009714890177896;23.0
83.0;0.08049596256288061;15.0
84.0;-0.09161061881779653;15.0
