Index;<epoch of min <Chi^2>>;Std(<epoch of min Chi^2>);<Chi^2(0%)>;<Chi^2(1%)>;<Chi^2(2%)>;<Chi^2(5%)>;<Chi^2(10%)>;<Chi^2(20%)>;<Chi_configs^2(0%)>;<Chi_configs^2(1%)>;<Chi_configs^2(2%)>;<Chi_configs^2(5%)>;<Chi_configs^2(10%)>;<Chi_configs^2(20%)>
1.0;84.31999969482422;51.83042907714844;130.78982543945312;56.37051773071289;43.84918975830078;36.429073333740234;32.91670608520508;30.18655014038086;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
2.0;93.12000274658203;56.46778106689453;178.50271606445312;57.24658203125;43.90656661987305;38.460289001464844;33.994354248046875;31.641714096069336;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
3.0;63.36000061035156;46.58851623535156;129.67457580566406;56.21323776245117;45.5161247253418;38.282432556152344;33.3884162902832;31.625322341918945;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
4.0;77.76000213623047;70.99136352539062;178.2157440185547;79.73462677001953;56.379817962646484;44.075538635253906;36.65565872192383;35.69232940673828;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
5.0;51.119998931884766;58.646766662597656;171.0630645751953;82.3974609375;57.35150909423828;44.34453582763672;37.078392028808594;35.9638786315918;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
6.0;69.27999877929688;67.27710723876953;176.34373474121094;79.66818237304688;57.36363220214844;44.409507751464844;36.81242752075195;36.01017379760742;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
7.0;90.04000091552734;65.31876373291016;154.34519958496094;63.11589431762695;50.606544494628906;41.354801177978516;35.4951057434082;31.808568954467773;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
8.0;39.20000076293945;61.3657112121582;171.02720642089844;66.66468048095703;56.107330322265625;43.8475456237793;35.46793746948242;34.21663284301758;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
9.0;87.16000366210938;61.64189147949219;149.03956604003906;65.24694061279297;52.10084915161133;41.77920913696289;35.02912139892578;33.16383361816406;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
10.0;97.4800033569336;65.31087493896484;172.94296264648438;77.075927734375;55.44121170043945;43.650970458984375;36.83736038208008;35.2097282409668;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
