Index;Min(max. R-Score);Avrg(max. R-Score);Std(max. R-Score);Avrg(epoch of max R-Score);Std(epoch of max R-Score);Min(max. R-Score (Val. set));Avrg(max. R-Score (Val. set));Std(max. R-Score (Val. set));Avrg(epoch of max R-Score (Val. set));Std(epoch of max R-Score (Val. set))
1.0;-931.926513671875;-377.15875244140625;246.857421875;110.45;40.160543208094566;0.25064778327941895;0.2651274800300598;0.006579799111932516;83.125;37.191250349566126
2.0;-1331.8238525390625;-534.890625;355.37359619140625;88.6;46.207891433923166;0.22622090578079224;0.2537167966365814;0.008252356201410294;45.875;28.043178703472112
3.0;-1589.652587890625;-502.8872985839844;361.5594482421875;105.725;40.531081773665875;0.2453693151473999;0.2616153955459595;0.006842728704214096;87.125;35.88384930613829
4.0;-3459.755859375;-907.8825073242188;920.3016967773438;123.325;38.11883409576574;0.24700510501861572;0.2607038915157318;0.005912312306463718;110.65;42.13382221397644
5.0;-2636.857666015625;-899.4608154296875;805.737548828125;108.15;49.31663785408297;0.23841804265975952;0.25716423988342285;0.006058074068278074;63.3;45.50976226633645
6.0;-3816.57763671875;-993.1590576171875;1021.8407592773438;121.925;40.6008636386608;0.24541819095611572;0.25879067182540894;0.005999349523335695;117.1;36.434556715801044
7.0;-2668.006103515625;-547.82470703125;583.3138427734375;58.425;50.04505021759945;0.24612724781036377;0.2610005736351013;0.006983183324337006;63.9;49.98502339803958
8.0;-2129.718994140625;-527.2295532226562;477.9590759277344;55.725;45.70529201250899;0.2324070930480957;0.2517818808555603;0.006454463116824627;27.075;32.10350847509126
9.0;-2629.896484375;-631.6293334960938;655.56396484375;69.125;49.272756033933064;0.24140989780426025;0.25592178106307983;0.007086555473506451;79.0;54.764296810314335
10.0;-2774.16357421875;-753.8832397460938;799.7791748046875;81.3;47.4472446580518;0.24037188291549683;0.25606319308280945;0.006750128231942654;86.725;55.11107083159543
11.0;-2300.519287109375;-732.6578979492188;709.381591796875;75.625;46.759991390843894;0.2319469451904297;0.24997767806053162;0.006455136928707361;35.375;38.876983830987605
12.0;-3118.371337890625;-842.21142578125;902.7966918945312;81.275;45.80112388051137;0.2370375394821167;0.25279107689857483;0.007045004982501268;97.625;51.63813314665621
13.0;-2621.052001953125;-731.836669921875;767.9409790039062;85.225;50.344702825263575;0.23728209733963013;0.2540428638458252;0.006883807014673948;88.575;55.00018065238397
14.0;-2301.2236328125;-723.2583618164062;688.4973754882812;75.175;47.275996782668386;0.22950023412704468;0.2478373497724533;0.006544647738337517;36.25;37.94851437921837
15.0;-2987.13623046875;-856.3229370117188;911.4924926757812;80.525;47.59766612464124;0.23518431186676025;0.25094074010849;0.007141292095184326;95.5;50.17610014380378
16.0;-3.056861e6;-131443.03125;570550.875;119.75;49.82314877490336;-21.297264099121094;-0.8985872268676758;4.0783514976501465;126.725;43.690043165404084
17.0;-3042.56396484375;-975.1561279296875;881.1517944335938;108.025;43.877736601045974;0.22563499212265015;0.24357447028160095;0.006464159581810236;95.525;40.57407755243204
18.0;-2.97216325e6;-155795.703125;643785.25;128.675;43.510910803778394;-20.85470199584961;-1.2084367275238037;4.6566619873046875;132.675;39.29140801230904
19.0;-3905.315185546875;-1254.4228515625;1139.304931640625;124.125;43.66491726775627;0.22953110933303833;0.2459995299577713;0.007110856007784605;125.55;39.53378950746453
20.0;-3185.433837890625;-1073.28271484375;1000.9898681640625;101.55;48.875535278070856;0.2248241901397705;0.2439611852169037;0.006731667090207338;62.55;49.17157298423135
21.0;-4196.91357421875;-1253.921875;1247.3397216796875;110.725;48.246688474111345;0.23061597347259521;0.24611186981201172;0.006934608332812786;114.575;42.90232645655262
22.0;-2792.04931640625;-847.4210815429688;878.5983276367188;80.925;49.39240443008029;0.2327970266342163;0.250564843416214;0.007109212689101696;92.175;54.82694803442219
23.0;-2887.081787109375;-840.5841674804688;826.5377197265625;74.975;49.24584454680624;0.22560065984725952;0.24438221752643585;0.006767523009330034;43.075;44.870975999854146
24.0;-3399.076904296875;-982.1507568359375;1022.123291015625;78.9;45.33793340160318;0.2312145233154297;0.2476905882358551;0.007266974542289972;97.275;49.940984402361586
25.0;-2510.12890625;-755.3453369140625;748.8018188476562;89.2;43.76288088768544;0.23210132122039795;0.24990351498126984;0.006801299750804901;84.85;53.39622093609631
26.0;-2514.919921875;-779.4738159179688;739.3118896484375;78.15;47.69268610271713;0.22424960136413574;0.24343490600585938;0.006736441515386105;52.35;50.495265073784836
27.0;-2960.056396484375;-931.767578125;940.2453002929688;86.725;46.0289694175421;0.2286059856414795;0.2468031644821167;0.007050098851323128;95.55;48.533335094392754
28.0;0.20189714431762695;0.22047486901283264;0.010475528426468372;114.375;31.128919277492038;0.15187764167785645;0.16875530779361725;0.006991819478571415;112.475;33.226485805368576
29.0;0.19911408424377441;0.21744045615196228;0.012054850347340107;107.1;38.49595383333763;0.14782321453094482;0.16778084635734558;0.007463044952601194;88.8;50.0349621354652
30.0;0.20501559972763062;0.22402195632457733;0.01095497515052557;105.775;36.7350091525223;0.15123814344406128;0.1715671420097351;0.0067350054159760475;71.875;50.81095556204592
31.0;0.20044291019439697;0.21869643032550812;0.010256973095238209;48.375;60.348427421994124;0.15033531188964844;0.16490915417671204;0.006737293675541878;103.075;64.4063173760829
32.0;0.19434869289398193;0.21818824112415314;0.011364620178937912;36.0;58.22414689844139;0.1477041244506836;0.1627778857946396;0.0068184067495167255;95.45;66.66408328327931
